序号,关键词,方案ID,推广单元ID,消费额,点击量,浏览量,跳出率,平均访问时长_秒,有消费,CTR,CPC,有浏览,有转化,平均浏览,GMM_K,cluster_id,分类
38,4048,63563817,1841014603,2.81,2,23,0.0,477.0,True,0.08695652173913043,1.405,True,True,11.5,8,5,潜力挖掘型
39,4183,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
40,4186,63563817,1841014603,3.17,2,3,0.5,124.0,True,0.6666666666666666,1.585,True,True,1.5,8,6,稳定拓展型三
41,4195,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
42,4675,63563817,1841014603,1.45,1,3,0.0,42.0,True,0.3333333333333333,1.45,True,True,3.0,8,5,潜力挖掘型
43,4713,63563817,1841014603,7.19,4,8,0.5,31.0,True,0.5,1.7975,True,True,2.0,8,1,稳定拓展型
44,4773,63563817,1841014603,52.44,31,42,0.8621,48.0,True,0.7380952380952381,1.6916129032258065,True,True,1.3548387096774193,8,6,稳定拓展型三
45,4827,63563817,1841014603,14.14,7,13,0.6667,255.0,True,0.5384615384615384,2.02,True,True,1.8571428571428572,8,1,稳定拓展型
46,4868,63563817,1841014603,6.19,3,3,1.0,191.0,True,1.0,2.0633333333333335,True,True,1.0,8,7,低效长尾型二
47,5001,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
48,5010,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
49,5134,63563817,1841014603,68.89,48,115,0.6744,178.0,True,0.41739130434782606,1.4352083333333334,True,True,2.3958333333333335,8,1,稳定拓展型
50,5176,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
51,5190,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
52,5267,63563817,1841014603,3.36,2,4,0.5,133.0,True,0.5,1.68,True,True,2.0,8,1,稳定拓展型
53,5307,63563817,1841014603,88.18,34,40,0.6667,90.0,True,0.85,2.593529411764706,True,True,1.1764705882352942,8,0,高价值转化型
54,5310,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
55,5330,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
56,5353,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
57,5374,63563817,1841014603,38.32,26,33,0.7895,153.0,True,0.7878787878787878,1.4738461538461538,True,True,1.2692307692307692,8,6,稳定拓展型三
58,5393,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
59,5418,63563817,1841014603,16.8,10,27,0.8,104.0,True,0.37037037037037035,1.6800000000000002,True,True,2.7,8,1,稳定拓展型
60,5592,63563817,1841014603,7.11,4,3,1.0,7.0,True,1.3333333333333333,1.7775,True,True,0.75,8,7,低效长尾型二
61,5701,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
62,5758,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
63,5801,63563817,1841014603,0.5,1,2,0.0,32.0,True,0.5,0.5,True,True,2.0,8,5,潜力挖掘型
64,5812,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
65,5849,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
66,5973,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
67,5976,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
68,6082,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
69,6083,63563817,1841014603,126.96,76,279,0.6053,197.0,True,0.2724014336917563,1.6705263157894736,True,True,3.6710526315789473,8,1,稳定拓展型
70,6086,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
71,6149,63563817,1841014603,183.37,97,613,0.4804,397.0,True,0.15823817292006526,1.8904123711340206,True,True,6.319587628865979,8,1,稳定拓展型
72,6299,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
73,6325,63563817,1841014603,18.15,9,13,0.75,41.0,True,0.6923076923076923,2.0166666666666666,True,True,1.4444444444444444,8,1,稳定拓展型
74,6352,63563817,1841014603,61.07,36,181,0.4286,404.0,True,0.19889502762430938,1.696388888888889,True,True,5.027777777777778,8,1,稳定拓展型
75,6364,63563817,1841014603,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
76,6414,63563817,1841014603,1.78,1,1,1.0,260.0,True,1.0,1.78,True,True,1.0,8,7,低效长尾型二
77,56,63563817,2526158329,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
78,480,63563817,2526158329,12.25,4,4,1.0,187.0,True,1.0,3.0625,True,True,1.0,8,7,低效长尾型二
79,770,63563817,2526158329,41.28,30,49,0.75,107.0,True,0.6122448979591837,1.3760000000000001,True,True,1.6333333333333333,8,6,稳定拓展型三
80,846,63563817,2526158329,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
81,934,63563817,2526158329,3.84,2,4,0.5,16.0,True,0.5,1.92,True,True,2.0,8,1,稳定拓展型
82,1262,63563817,2526158329,2.21,1,1,1.0,11.0,True,1.0,2.21,True,True,1.0,8,7,低效长尾型二
83,1277,63563817,2526158329,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
84,1385,63563817,2526158329,11.15,5,9,1.0,43.0,True,0.5555555555555556,2.23,True,True,1.8,8,7,低效长尾型二
85,2052,63563817,2526158329,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
86,2373,63563817,2526158329,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
87,2397,63563817,2526158329,8.06,6,24,0.75,293.0,True,0.25,1.3433333333333335,True,True,4.0,8,1,稳定拓展型
88,2514,63563817,2526158329,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
89,2942,63563817,2526158329,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
90,3286,63563817,2526158329,1.9,1,1,1.0,19.0,True,1.0,1.9,True,True,1.0,8,7,低效长尾型二
91,3791,63563817,2526158329,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
92,4113,63563817,2526158329,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
93,4348,63563817,2526158329,23.31,12,15,0.8333,25.0,True,0.8,1.9425,True,True,1.25,8,6,稳定拓展型三
94,4497,63563817,2526158329,15.14,10,30,0.963,30.0,True,0.3333333333333333,1.514,True,True,3.0,8,1,稳定拓展型
95,5236,63563817,2526158329,7.11,5,36,0.5,1272.0,True,0.1388888888888889,1.4220000000000002,True,True,7.2,8,1,稳定拓展型
96,5700,63563817,2526158329,3.63,2,1,1.0,3.0,True,2.0,1.815,True,True,0.5,8,7,低效长尾型二
97,5910,63563817,2526158329,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
98,5942,63563817,2526158329,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
99,6014,63563817,2526158329,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
100,6207,63563817,2526158329,2.68,2,3,0.0,19.0,True,0.6666666666666666,1.34,True,True,1.5,8,5,潜力挖掘型
101,6545,63563817,2526158329,14.84,6,37,0.5714,180.0,True,0.16216216216216217,2.473333333333333,True,True,6.166666666666667,8,1,稳定拓展型
102,6604,63563817,2526158329,1.8,1,2,0.0,9.0,True,0.5,1.8,True,True,2.0,8,5,潜力挖掘型
103,18,63563817,2874903000,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
104,19,63563817,2874903000,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
105,147,63563817,2874903000,41.96,37,51,0.9565,80.0,True,0.7254901960784313,1.134054054054054,True,True,1.3783783783783783,8,6,稳定拓展型三
106,193,63563817,2874903000,4.83,5,4,1.0,63.0,True,1.25,0.966,True,True,0.8,8,7,低效长尾型二
107,384,63563817,2874903000,25.16,17,21,0.8824,67.0,True,0.8095238095238095,1.48,True,True,1.2352941176470589,8,6,稳定拓展型三
108,405,63563817,2874903000,39.06,26,22,1.0,56.0,True,1.1818181818181819,1.5023076923076923,True,True,0.8461538461538461,8,7,低效长尾型二
109,431,63563817,2874903000,121.72,94,161,0.9146,114.0,True,0.5838509316770186,1.2948936170212766,True,True,1.7127659574468086,8,6,稳定拓展型三
110,504,63563817,2874903000,60.02,45,64,0.9667,60.0,True,0.703125,1.333777777777778,True,True,1.4222222222222223,8,6,稳定拓展型三
111,615,63563817,2874903000,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
112,648,63563817,2874903000,5.79,4,3,1.0,83.0,True,1.3333333333333333,1.4475,True,True,0.75,8,7,低效长尾型二
113,811,63563817,2874903000,20.17,13,13,0.9167,137.0,True,1.0,1.5515384615384618,True,True,1.0,8,6,稳定拓展型三
114,891,63563817,2874903000,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
115,1176,63563817,2874903000,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
116,1307,63563817,2874903000,0.81,1,0,0.0,,True,,0.81,False,True,0.0,8,5,潜力挖掘型
117,1461,63563817,2874903000,28.41,18,16,1.0,29.0,True,1.125,1.5783333333333334,True,True,0.8888888888888888,8,7,低效长尾型二
118,1490,63563817,2874903000,1.88,1,1,1.0,8.0,True,1.0,1.88,True,True,1.0,8,7,低效长尾型二
119,1541,63563817,2874903000,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
120,1552,63563817,2874903000,11.22,8,4,1.0,3.0,True,2.0,1.4025,True,True,0.5,8,7,低效长尾型二
121,1812,63563817,2874903000,7.32,4,3,1.0,3.0,True,1.3333333333333333,1.83,True,True,0.75,8,7,低效长尾型二
122,1849,63563817,2874903000,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
123,2038,63563817,2874903000,84.93,60,60,0.9057,128.0,True,1.0,1.4155000000000002,True,True,1.0,8,6,稳定拓展型三
124,2081,63563817,2874903000,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
125,2107,63563817,2874903000,60.53,43,37,0.9714,90.0,True,1.162162162162162,1.4076744186046513,True,True,0.8604651162790697,8,6,稳定拓展型三
126,2249,63563817,2874903000,4.33,3,3,1.0,46.0,True,1.0,1.4433333333333334,True,True,1.0,8,7,低效长尾型二
127,2270,63563817,2874903000,26.65,15,13,1.0,34.0,True,1.1538461538461537,1.7766666666666666,True,True,0.8666666666666667,8,7,低效长尾型二
128,2275,63563817,2874903000,264.04,180,181,0.9463,87.0,True,0.994475138121547,1.466888888888889,True,True,1.0055555555555555,8,6,稳定拓展型三
129,2499,63563817,2874903000,1.08,1,0,0.0,,True,,1.08,False,True,0.0,8,5,潜力挖掘型
130,2561,63563817,2874903000,402.98,281,248,0.9607,79.0,True,1.1330645161290323,1.4340925266903914,True,True,0.8825622775800712,8,6,稳定拓展型三
131,2574,63563817,2874903000,4.62,2,1,1.0,120.0,True,2.0,2.31,True,True,0.5,8,7,低效长尾型二
132,2596,63563817,2874903000,1.47,1,1,1.0,1.0,True,1.0,1.47,True,True,1.0,8,7,低效长尾型二
133,2669,63563817,2874903000,7.34,7,9,0.8571,23.0,True,0.7777777777777778,1.0485714285714285,True,True,1.2857142857142858,8,6,稳定拓展型三
134,2733,63563817,2874903000,9.83,7,7,1.0,88.0,True,1.0,1.4042857142857144,True,True,1.0,8,7,低效长尾型二
135,2774,63563817,2874903000,37.05,27,17,1.0,93.0,True,1.588235294117647,1.372222222222222,True,True,0.6296296296296297,8,7,低效长尾型二
136,2797,63563817,2874903000,5.41,4,3,1.0,4.0,True,1.3333333333333333,1.3525,True,True,0.75,8,7,低效长尾型二
137,2803,63563817,2874903000,8.18,7,7,1.0,23.0,True,1.0,1.1685714285714286,True,True,1.0,8,7,低效长尾型二
138,2863,63563817,2874903000,27.28,18,12,1.0,86.0,True,1.5,1.5155555555555555,True,True,0.6666666666666666,8,7,低效长尾型二
139,2938,63563817,2874903000,40.92,30,26,0.9091,72.0,True,1.1538461538461537,1.364,True,True,0.8666666666666667,8,6,稳定拓展型三
140,2959,63563817,2874903000,1.27,2,2,1.0,25.0,True,1.0,0.635,True,True,1.0,8,7,低效长尾型二
141,3163,63563817,2874903000,614.71,402,350,0.9824,44.0,True,1.1485714285714286,1.529129353233831,True,True,0.8706467661691543,8,6,稳定拓展型三
142,3422,63563817,2874903000,7.28,6,4,1.0,66.0,True,1.5,1.2133333333333334,True,True,0.6666666666666666,8,7,低效长尾型二
143,3465,63563817,2874903000,1.98,2,1,1.0,1.0,True,2.0,0.99,True,True,0.5,8,7,低效长尾型二
144,3540,63563817,2874903000,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
145,3801,63563817,2874903000,12.08,9,7,1.0,40.0,True,1.2857142857142858,1.3422222222222222,True,True,0.7777777777777778,8,7,低效长尾型二
146,3863,63563817,2874903000,28.12,18,15,1.0,39.0,True,1.2,1.5622222222222222,True,True,0.8333333333333334,8,7,低效长尾型二
147,3972,63563817,2874903000,18.12,14,15,0.9,70.0,True,0.9333333333333333,1.2942857142857143,True,True,1.0714285714285714,8,6,稳定拓展型三
148,4023,63563817,2874903000,29.05,12,19,0.9375,72.0,True,0.631578947368421,2.4208333333333334,True,True,1.5833333333333333,8,1,稳定拓展型
149,4166,63563817,2874903000,24.53,20,21,0.9444,41.0,True,0.9523809523809523,1.2265000000000001,True,True,1.05,8,6,稳定拓展型三
150,4345,63563817,2874903000,0.56,1,0,0.0,,True,,0.56,False,True,0.0,8,5,潜力挖掘型
151,4347,63563817,2874903000,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
152,4363,63563817,2874903000,0.15,1,1,1.0,15.0,True,1.0,0.15,True,True,1.0,8,7,低效长尾型二
153,4400,63563817,2874903000,14.68,9,4,1.0,4.0,True,2.25,1.6311111111111112,True,True,0.4444444444444444,8,7,低效长尾型二
154,4458,63563817,2874903000,14.62,7,5,1.0,237.0,True,1.4,2.0885714285714285,True,True,0.7142857142857143,8,7,低效长尾型二
155,4527,63563817,2874903000,103.53,68,96,0.9153,293.0,True,0.7083333333333334,1.5225,True,True,1.411764705882353,8,6,稳定拓展型三
156,4667,63563817,2874903000,8.06,19,37,0.7059,196.0,True,0.5135135135135135,0.4242105263157895,True,True,1.9473684210526316,8,1,稳定拓展型
157,4700,63563817,2874903000,59.83,35,44,0.9231,83.0,True,0.7954545454545454,1.7094285714285713,True,True,1.2571428571428571,8,6,稳定拓展型三
158,4738,63563817,2874903000,3.78,3,3,1.0,2.0,True,1.0,1.26,True,True,1.0,8,7,低效长尾型二
159,4798,63563817,2874903000,105.25,107,116,0.973,83.0,True,0.9224137931034483,0.9836448598130841,True,True,1.0841121495327102,8,6,稳定拓展型三
160,4805,63563817,2874903000,39.87,31,24,1.0,36.0,True,1.2916666666666667,1.2861290322580645,True,True,0.7741935483870968,8,7,低效长尾型二
161,4836,63563817,2874903000,2.94,3,2,1.0,61.0,True,1.5,0.98,True,True,0.6666666666666666,8,7,低效长尾型二
162,4837,63563817,2874903000,36.73,24,25,0.9583,79.0,True,0.96,1.5304166666666665,True,True,1.0416666666666667,8,6,稳定拓展型三
163,4857,63563817,2874903000,26.8,21,20,0.875,31.0,True,1.05,1.2761904761904763,True,True,0.9523809523809523,8,6,稳定拓展型三
164,4860,63563817,2874903000,46.03,41,111,0.5625,173.0,True,0.36936936936936937,1.1226829268292684,True,True,2.707317073170732,8,1,稳定拓展型
165,5241,63563817,2874903000,6.42,4,4,1.0,33.0,True,1.0,1.605,True,True,1.0,8,7,低效长尾型二
166,5351,63563817,2874903000,4.07,3,6,0.75,558.0,True,0.5,1.3566666666666667,True,True,2.0,8,6,稳定拓展型三
167,5532,63563817,2874903000,68.56,43,82,0.9574,119.0,True,0.524390243902439,1.5944186046511628,True,True,1.9069767441860466,8,1,稳定拓展型
168,5926,63563817,2874903000,31.28,19,18,0.9412,77.0,True,1.0555555555555556,1.6463157894736842,True,True,0.9473684210526315,8,6,稳定拓展型三
169,5995,63563817,2874903000,0.92,1,0,0.0,,True,,0.92,False,True,0.0,8,5,潜力挖掘型
170,6098,63563817,2874903000,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
171,6242,63563817,2874903000,4.45,4,3,1.0,43.0,True,1.3333333333333333,1.1125,True,True,0.75,8,7,低效长尾型二
172,6282,63563817,2874903000,162.07,119,149,0.947,76.0,True,0.7986577181208053,1.3619327731092437,True,True,1.2521008403361344,8,6,稳定拓展型三
173,6623,63563817,2874903000,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
174,6633,63563817,2874903000,15.18,12,7,1.0,142.0,True,1.7142857142857142,1.265,True,True,0.5833333333333334,8,7,低效长尾型二
175,9,63563817,4190988309,34.07,14,71,0.7143,390.0,True,0.19718309859154928,2.4335714285714287,True,True,5.071428571428571,8,1,稳定拓展型
176,152,63563817,4190988309,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
177,770,63563817,4190988309,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
178,886,63563817,4190988309,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
179,1098,63563817,4190988309,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
180,1203,63563817,4190988309,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
181,1277,63563817,4190988309,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
182,1651,63563817,4190988309,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
183,1942,63563817,4190988309,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
184,2050,63563817,4190988309,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
185,2373,63563817,4190988309,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
186,2397,63563817,4190988309,2.26,2,36,0.5,1490.0,True,0.05555555555555555,1.13,True,True,18.0,8,1,稳定拓展型
187,2478,63563817,4190988309,101.65,54,148,0.74,136.0,True,0.36486486486486486,1.8824074074074075,True,True,2.740740740740741,8,1,稳定拓展型
188,2706,63563817,4190988309,0.48,2,0,0.0,,True,,0.24,False,True,0.0,8,5,潜力挖掘型
189,2725,63563817,4190988309,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
190,2789,63563817,4190988309,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
191,2941,63563817,4190988309,38.41,28,269,0.4138,643.0,True,0.10408921933085502,1.3717857142857142,True,True,9.607142857142858,8,1,稳定拓展型
192,2977,63563817,4190988309,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
193,3084,63563817,4190988309,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
194,3485,63563817,4190988309,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
195,3617,63563817,4190988309,1.68,1,1,1.0,120.0,True,1.0,1.68,True,True,1.0,8,7,低效长尾型二
196,3840,63563817,4190988309,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
197,4017,63563817,4190988309,18.21,10,21,0.6364,315.0,True,0.47619047619047616,1.8210000000000002,True,True,2.1,8,1,稳定拓展型
198,4097,63563817,4190988309,37.12,19,418,0.6316,449.0,True,0.045454545454545456,1.9536842105263157,True,True,22.0,8,1,稳定拓展型
199,4101,63563817,4190988309,33.58,27,56,0.6538,97.0,True,0.48214285714285715,1.2437037037037035,True,True,2.074074074074074,8,1,稳定拓展型
200,4134,63563817,4190988309,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
201,4135,63563817,4190988309,1.57,1,1,1.0,,True,1.0,1.57,True,True,1.0,8,7,低效长尾型二
202,4177,63563817,4190988309,2053.55,1402,10918,0.4145,483.0,True,0.12841179703242353,1.4647289586305279,True,True,7.787446504992867,8,0,高价值转化型
203,4195,63563817,4190988309,25.1,10,11,1.0,57.0,True,0.9090909090909091,2.5100000000000002,True,True,1.1,8,7,低效长尾型二
204,4905,63563817,4190988309,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
205,5257,63563817,4190988309,12.66,10,11,1.0,55.0,True,0.9090909090909091,1.266,True,True,1.1,8,7,低效长尾型二
206,5268,63563817,4190988309,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
207,5367,63563817,4190988309,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
208,5374,63563817,4190988309,73.72,28,44,0.75,75.0,True,0.6363636363636364,2.632857142857143,True,True,1.5714285714285714,8,0,高价值转化型
209,5465,63563817,4190988309,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
210,5649,63563817,4190988309,9.69,6,26,0.8,466.0,True,0.23076923076923078,1.615,True,True,4.333333333333333,8,1,稳定拓展型
211,5699,63563817,4190988309,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
212,5801,63563817,4190988309,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
213,5900,63563817,4190988309,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
214,5910,63563817,4190988309,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
215,6051,63563817,4190988309,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
216,6082,63563817,4190988309,1.85,1,1,1.0,12.0,True,1.0,1.85,True,True,1.0,8,7,低效长尾型二
217,6083,63563817,4190988309,22.89,16,84,0.4375,371.0,True,0.19047619047619047,1.430625,True,True,5.25,8,1,稳定拓展型
218,6207,63563817,4190988309,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
219,6224,63563817,4190988309,3.44,2,2,1.0,11.0,True,1.0,1.72,True,True,1.0,8,7,低效长尾型二
220,6245,63563817,4190988309,6.07,2,61,0.0,1360.0,True,0.03278688524590164,3.035,True,True,30.5,8,5,潜力挖掘型
221,6602,63563817,4190988309,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
222,88,63563817,4190988310,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
223,167,63563817,4190988310,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
224,228,63563817,4190988310,4.64,4,3,1.0,62.0,True,1.3333333333333333,1.16,True,True,0.75,8,7,低效长尾型二
225,266,63563817,4190988310,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
226,467,63563817,4190988310,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
227,867,63563817,4190988310,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
228,925,63563817,4190988310,109.28,74,122,0.9231,44.0,True,0.6065573770491803,1.4767567567567568,True,True,1.6486486486486487,8,6,稳定拓展型三
229,990,63563817,4190988310,12.69,8,28,0.7143,415.0,True,0.2857142857142857,1.58625,True,True,3.5,8,1,稳定拓展型
230,1108,63563817,4190988310,1.73,1,1,1.0,25.0,True,1.0,1.73,True,True,1.0,8,7,低效长尾型二
231,1186,63563817,4190988310,55.07,39,57,0.8974,146.0,True,0.6842105263157895,1.412051282051282,True,True,1.4615384615384615,8,6,稳定拓展型三
232,1362,63563817,4190988310,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
233,1517,63563817,4190988310,9.07,7,7,0.8333,11.0,True,1.0,1.2957142857142858,True,True,1.0,8,6,稳定拓展型三
234,1554,63563817,4190988310,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
235,1567,63563817,4190988310,367.4,238,812,0.6996,208.0,True,0.29310344827586204,1.5436974789915965,True,True,3.411764705882353,8,1,稳定拓展型
236,1583,63563817,4190988310,0.48,1,1,1.0,120.0,True,1.0,0.48,True,True,1.0,8,7,低效长尾型二
237,1667,63563817,4190988310,93.58,53,120,0.8824,101.0,True,0.44166666666666665,1.7656603773584905,True,True,2.2641509433962264,8,1,稳定拓展型
238,1714,63563817,4190988310,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
239,1808,63563817,4190988310,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
