序号,关键词,方案ID,推广单元,分类,消费,点击量,浏览量,CPC,风险评级,触发规则
1822,4025,525368335,9811363528,问题词,4371.61,319,1051,13.704106583072099,高,双触发
1149,6660,500635396,9657930100,问题词,4349.38,2727,5333,1.594932159882655,高,q95
1158,3371,500635396,9700005700,问题词,4326.98,2145,3643,2.017240093240093,高,q95
1987,5070,525368335,9811363528,问题词,4240.55,2224,4333,1.9067221223021584,高,q95
1109,861,500635396,9657930100,问题词,4227.49,768,2244,5.504544270833333,高,双触发
1136,5331,500635396,9657930100,问题词,4160.45,2130,3953,1.953262910798122,高,q95
1639,2843,525368335,9811363528,重点词,4124.08,5431,5542,0.7593592340268827,高,q95
1169,6586,500635396,9773660250,问题词,4114.5,2439,5984,1.686961869618696,高,q95
1,9,63563817,1841014603,重点词,3424.41,3271,9750,1.0469000305716907,高,q95
1762,3595,525368335,9811363528,问题词,3343.5,420,418,7.960714285714285,高,双触发
1660,2961,525368335,9811363528,重点词,3144.54,4114,5321,0.7643509965969859,高,q95
684,353,495817671,9630806627,问题词,2953.6,2626,2546,1.1247524752475246,高,q95
1073,6159,495817671,9630806627,问题词,2951.62,1910,1493,1.5453507853403141,高,q95
2054,5484,525368335,9811363528,问题词,2870.73,670,867,4.284671641791045,高,q95
858,2933,495817671,9630806627,问题词,2839.7,2473,3691,1.1482814395471086,高,q95
668,110,495817671,9630806627,问题词,2838.16,1511,3464,1.8783322303110521,高,q95
1664,2978,525368335,9811363528,重点词,2698.76,4658,6365,0.5793817088879348,高,q95
2218,6607,525368335,9811363528,问题词,2674.93,1735,2223,1.5417463976945245,高,q95
1935,4718,525368335,9811363528,问题词,2594.66,813,1424,3.191463714637146,高,q95
761,1424,495817671,9630806627,重点词,2592.53,2414,145,1.0739560894780449,高,q95
979,4760,495817671,9630806627,问题词,2556.38,436,1281,5.863256880733945,高,双触发
1106,509,500635396,9657930100,问题词,2532.96,350,889,7.237028571428572,高,双触发
608,5703,495403620,9628223555,问题词,2433.25,464,1009,5.244073275862069,高,双触发
1152,416,500635396,9700005700,问题词,2417.24,1207,507,2.0026843413421704,高,q95
486,3374,495403620,9628223555,问题词,2398.88,445,3848,5.390741573033708,高,双触发
717,815,495817671,9630806627,重点词,2298.65,2510,2693,0.915796812749004,高,q95
1167,232,500635396,9773660250,问题词,2235.16,1712,3698,1.3055841121495326,高,q95
1620,2742,525368335,9811363528,重点词,2201.88,6284,4228,0.35039465308720563,高,q95
1828,4045,525368335,9811363528,问题词,2116.51,24,117,88.18791666666668,高,双触发
1753,3515,525368335,9811363528,问题词,2110.21,88,180,23.97965909090909,高,高CPC高消费
1911,4594,525368335,9811363528,问题词,2076.36,273,546,7.605714285714286,高,高CPC高消费
488,3382,495403620,9628223555,问题词,1533.0,276,1485,5.554347826086956,高,高CPC高消费
905,3575,495817671,9630806627,问题词,1246.44,197,682,6.327106598984772,高,高CPC高消费
1008,5194,495817671,9630806627,问题词,1244.51,197,219,6.3173096446700505,高,高CPC高消费
1055,5834,495817671,9630806627,问题词,1229.83,157,191,7.833312101910828,高,高CPC高消费
1709,3222,525368335,9811363528,问题词,1176.51,172,337,6.840174418604651,高,高CPC高消费
1025,5486,495817671,9630806627,问题词,1121.76,52,93,21.572307692307692,高,高CPC高消费
1068,6119,495817671,9630806627,问题词,1007.59,169,182,5.96207100591716,高,高CPC高消费
1041,5702,495817671,9630806627,问题词,924.69,93,107,9.942903225806452,高,高CPC高消费
1283,653,525368335,9811363528,问题词,570.08,73,221,7.809315068493151,高,高CPC高消费
2084,5640,525368335,9811363528,问题词,531.84,40,33,13.296000000000001,高,高CPC高消费
624,6027,495403620,9628223555,问题词,501.74,66,512,7.6021212121212125,高,高CPC高消费
1243,433,525368335,9811363528,问题词,438.82,72,332,6.094722222222222,高,高CPC高消费
1279,640,525368335,9811363528,问题词,432.45,35,165,12.355714285714285,高,高CPC高消费
1857,4260,525368335,9811363528,问题词,362.82,62,58,5.851935483870967,高,高CPC高消费
1805,3923,525368335,9811363528,问题词,316.24,20,94,15.812000000000001,高,高CPC高消费
1224,270,525368335,9811363528,问题词,263.36,50,167,5.2672,高,高CPC高消费
1328,888,525368335,9811363528,问题词,244.33,31,104,7.881612903225807,高,高CPC高消费
2011,5212,525368335,9811363528,问题词,242.98,40,36,6.0745,高,高CPC高消费
1830,4053,525368335,9811363528,问题词,223.0,37,100,6.027027027027027,高,高CPC高消费
1808,3936,525368335,9811363528,问题词,155.23,28,51,5.543928571428571,高,高CPC高消费
609,5705,495403620,9628223555,问题词,134.41,26,101,5.169615384615384,高,高CPC高消费
2004,5182,525368335,9811363528,问题词,132.06,13,23,10.15846153846154,高,高CPC高消费
1089,6463,495817671,9630806627,问题词,127.09,21,177,6.051904761904762,高,高CPC高消费
1266,572,525368335,9811363528,问题词,126.06,22,26,5.73,高,高CPC高消费
2149,6162,525368335,9811363528,问题词,121.83,24,24,5.07625,高,高CPC高消费
2166,6272,525368335,9811363528,问题词,121.35,23,43,5.2760869565217385,高,高CPC高消费
2139,6029,525368335,9811363528,问题词,120.76,18,36,6.70888888888889,高,高CPC高消费
1304,751,525368335,9811363528,问题词,118.97,21,76,5.665238095238095,高,高CPC高消费
1332,912,525368335,9811363528,问题词,116.42,16,8,7.27625,高,高CPC高消费
1318,829,525368335,9811363528,问题词,112.68,22,79,5.121818181818182,高,高CPC高消费
1260,557,525368335,9811363528,问题词,111.75,13,26,8.596153846153847,高,高CPC高消费
2081,5608,525368335,9811363528,问题词,111.69,12,19,9.3075,高,高CPC高消费
1182,48,525368335,9811363528,问题词,58.58,11,7,5.325454545454545,高,高CPC高消费
2162,6246,525368335,9811363528,问题词,53.38,10,23,5.338,高,高CPC高消费
2110,5831,525368335,9811363528,问题词,52.79,3,19,17.596666666666668,高,高CPC高消费
2132,5935,525368335,9811363528,问题词,46.08,7,7,6.582857142857143,高,高CPC高消费
