date,unit_id,n_keywords,cost,adopted_all,total_all,adopted_high,total_high,adoption_rate_all,adoption_rate_high
2025-08-03,9773660250,1,264.525,0,100,0,100,0.0,0.0
2025-08-03,9811363528,1,311.7825,0,100,0,100,0.0,0.0
2025-08-04,1841014603,1,38.1375,0,100,0,100,0.0,0.0
2025-08-04,2874903000,1,28.63,0,100,0,100,0.0,0.0
2025-08-04,4190988309,1,30.54625,0,100,0,100,0.0,0.0
2025-08-04,4190988310,1,29.35875,0,100,0,100,0.0,0.0
2025-08-04,8878077181,1,539.87625,0,100,0,100,0.0,0.0
2025-08-04,9628223555,1,300.1025,0,100,0,100,0.0,0.0
2025-08-04,9630806627,1,358.77375,0,100,0,100,0.0,0.0
2025-08-04,9700005700,1,17.6325,0,100,0,100,0.0,0.0
2025-08-04,9773660250,1,264.525,0,100,0,100,0.0,0.0
2025-08-04,9811363528,1,311.7825,0,100,0,100,0.0,0.0
2025-08-05,1841014603,1,38.1375,0,100,0,100,0.0,0.0
2025-08-05,2874903000,1,28.63,0,100,0,100,0.0,0.0
2025-08-05,4190988309,1,30.54625,0,100,0,100,0.0,0.0
2025-08-05,4190988310,1,29.35875,0,100,0,100,0.0,0.0
2025-08-05,8878077181,1,539.87625,0,100,0,100,0.0,0.0
2025-08-05,9628223555,1,300.1025,0,100,0,100,0.0,0.0
2025-08-05,9630806627,1,358.77375,0,100,0,100,0.0,0.0
2025-08-05,9700005700,1,17.6325,0,100,0,100,0.0,0.0
2025-08-05,9773660250,1,264.525,0,100,0,100,0.0,0.0
2025-08-05,9811363528,1,311.7825,0,100,0,100,0.0,0.0
2025-08-06,1841014603,1,38.1375,0,100,0,100,0.0,0.0
2025-08-06,2874903000,1,28.63,0,100,0,100,0.0,0.0
2025-08-06,4190988309,1,30.54625,0,100,0,100,0.0,0.0
2025-08-06,4190988310,1,29.35875,0,100,0,100,0.0,0.0
2025-08-06,8878077181,1,539.87625,0,100,0,100,0.0,0.0
2025-08-06,9630806627,1,358.77375,0,100,0,100,0.0,0.0
2025-08-06,9657930100,1,4474.6687,0,100,0,100,0.0,0.0
2025-08-06,9700005700,1,17.6325,0,100,0,100,0.0,0.0
2025-08-06,9773660250,1,264.525,0,100,0,100,0.0,0.0
2025-08-06,9811363528,1,311.7825,0,100,0,100,0.0,0.0
2025-08-07,1841014603,1,38.1375,0,100,0,100,0.0,0.0
2025-08-07,2874903000,1,28.63,0,100,0,100,0.0,0.0
2025-08-07,4190988309,1,30.54625,0,100,0,100,0.0,0.0
2025-08-07,4190988310,1,29.35875,0,100,0,100,0.0,0.0
2025-08-07,8878077181,1,539.87625,0,100,0,100,0.0,0.0
2025-08-07,9630806627,1,358.77375,0,100,0,100,0.0,0.0
2025-08-07,9700005700,1,17.6325,0,100,0,100,0.0,0.0
2025-08-07,9773660250,1,264.525,0,100,0,100,0.0,0.0
2025-08-07,9811363528,1,311.7825,0,100,0,100,0.0,0.0
2025-08-08,1841014603,1,38.1375,0,100,0,100,0.0,0.0
2025-08-08,2874903000,1,28.63,0,100,0,100,0.0,0.0
2025-08-08,4190988309,1,30.54625,0,100,0,100,0.0,0.0
2025-08-08,4190988310,1,29.35875,0,100,0,100,0.0,0.0
2025-08-08,8878077181,1,539.87625,0,100,0,100,0.0,0.0
2025-08-08,9628223555,1,300.1025,0,100,0,100,0.0,0.0
2025-08-08,9630806627,1,358.77375,0,100,0,100,0.0,0.0
2025-08-08,9700005700,1,17.6325,0,100,0,100,0.0,0.0
2025-08-08,9773660250,1,264.525,0,100,0,100,0.0,0.0
2025-08-08,9811363528,1,311.7825,0,100,0,100,0.0,0.0
