关键词,方案ID,消费额,跳出率,平均访问时长_秒,cluster
5436,495403620,17.1,0.4545,297.0,0
5467,495403620,9.29,1.0,36.0,2
5495,495403620,1.56,0.625,174.0,2
5508,495403620,1.4,0.0,,0
5534,495403620,0.1,0.0,,0
5549,495403620,3.05,1.0,2.0,2
5588,495403620,1.37,1.0,3.0,2
5629,495403620,1.1,0.0,,0
5643,495403620,5.44,1.0,3.0,2
5661,495403620,33.08,0.8947,100.0,2
5696,495403620,54.85,0.9375,76.0,2
5702,495403620,22.93,0.8182,77.0,2
5703,495403620,2433.25,0.7268,229.0,1
5705,495403620,134.41,0.56,209.0,1
5721,495403620,20.77,0.9444,150.0,2
5767,495403620,10.18,0.8571,23.0,2
5779,495403620,15.29,1.0,19.0,2
5795,495403620,31.96,0.9231,119.0,2
5862,495403620,5.94,1.0,33.0,2
5888,495403620,1.8,1.0,1.0,2
5911,495403620,29.26,0.4375,335.0,0
5912,495403620,2.7,0.25,315.0,0
5921,495403620,11.58,0.8333,44.0,2
5964,495403620,1774.21,0.8364,111.0,1
6017,495403620,4.12,0.6667,517.0,2
6027,495403620,501.74,0.25,720.0,1
6028,495403620,4.42,0.5,43.0,0
6039,495403620,2.31,1.0,6.0,2
6093,495403620,6.74,0.6667,652.0,2
6106,495403620,1.1,0.0,47.0,0
6149,495403620,60.82,0.9091,171.0,2
6152,495403620,7.16,1.0,33.0,2
6157,495403620,4.06,0.6667,72.0,2
6159,495403620,43.15,0.75,41.0,2
6164,495403620,0.15,1.0,1.0,2
6198,495403620,0.27,1.0,120.0,2
6210,495403620,1.06,1.0,41.0,2
6229,495403620,19.34,0.9333,503.0,2
6261,495403620,18916.77,0.8917,106.0,1
6298,495403620,1983.14,0.7867,202.0,1
6360,495403620,10735.93,0.6879,230.0,1
6366,495403620,8.41,1.0,32.0,2
6372,495403620,8.06,1.0,76.0,2
6377,495403620,20.2,0.08,761.0,0
6383,495403620,4.85,1.0,2.0,2
6440,495403620,2.62,1.0,453.0,2
6474,495403620,120.04,0.5366,265.0,1
6500,495403620,116.38,0.4595,252.0,1
6504,495403620,36.72,0.7619,134.0,2
6538,495403620,22.9,0.7222,345.0,2
6542,495403620,7.58,1.0,28.0,2
6560,495403620,4.72,0.5,527.0,0
6574,495403620,56.31,0.6216,267.0,1
6617,495403620,318.27,0.858,99.0,1
64,495817671,6.47,1.0,25.0,2
108,495817671,2.28,0.5,6.0,0
110,495817671,2838.16,0.2866,448.0,1
114,495817671,5.49,1.0,64.0,2
136,495817671,20.16,0.7931,118.0,2
235,495817671,123.8,0.7952,196.0,1
243,495817671,12.22,0.3333,226.0,0
292,495817671,0.96,1.0,1.0,2
299,495817671,121.03,0.7143,231.0,1
308,495817671,83.0,0.7167,196.0,1
316,495817671,49.94,1.0,94.0,2
353,495817671,2953.6,0.8257,148.0,1
370,495817671,3.46,0.1429,236.0,0
381,495817671,0.31,1.0,3.0,2
391,495817671,11.9,0.6667,245.0,2
444,495817671,241.33,0.1414,551.0,0
445,495817671,8.59,0.8571,132.0,2
456,495817671,26.44,0.7727,76.0,2
505,495817671,128.05,0.7722,100.0,1
518,495817671,1.57,0.5,156.0,0
530,495817671,74.08,0.8169,56.0,2
584,495817671,0.24,1.0,13.0,2
617,495817671,5.13,1.0,6.0,2
677,495817671,1.39,1.0,120.0,2
679,495817671,200.65,0.925,85.0,1
714,495817671,5.76,1.0,39.0,2
735,495817671,18.17,0.8333,87.0,2
798,495817671,0.89,1.0,98.0,2
815,495817671,2298.65,0.7592,154.0,1
847,495817671,19.53,0.5833,184.0,2
858,495817671,10.73,0.8824,85.0,2
875,495817671,47.51,0.72,311.0,2
890,495817671,56.98,0.9783,86.0,2
965,495817671,12.3,0.875,129.0,2
1018,495817671,0.15,0.0,,0
1040,495817671,6.4,1.0,65.0,2
1041,495817671,2.11,1.0,90.0,2
1056,495817671,1.01,1.0,,2
1089,495817671,396.88,0.5259,419.0,1
1090,495817671,14.8,0.7778,84.0,2
1092,495817671,4.16,0.6667,251.0,2
1150,495817671,33.45,0.9231,29.0,2
1152,495817671,20.59,0.96,65.0,2
1164,495817671,237.11,0.5455,335.0,1
1185,495817671,3.09,0.75,24.0,2
1207,495817671,115.45,0.8289,91.0,1
1242,495817671,10.75,0.7778,114.0,2
1243,495817671,13.53,1.0,72.0,2
1265,495817671,1.37,1.0,1.0,2
1287,495817671,3.95,1.0,73.0,2
1314,495817671,14.45,0.6364,53.0,2
1364,495817671,41.04,1.0,63.0,2
1365,495817671,3.6,0.75,82.0,2
1377,495817671,1.03,1.0,120.0,2
1390,495817671,18.22,0.9375,68.0,2
1424,495817671,2592.53,0.8839,97.0,1
1425,495817671,50.01,0.9091,156.0,2
1437,495817671,0.91,1.0,2.0,2
1438,495817671,1912.61,0.6199,276.0,1
1486,495817671,73.03,0.8333,101.0,2
1524,495817671,5.5,1.0,49.0,2
1566,495817671,0.93,0.0,104.0,0
1575,495817671,33.9,0.5,508.0,0
1581,495817671,17.82,0.8571,45.0,2
1590,495817671,126.84,0.8281,137.0,1
1608,495817671,0.89,1.0,120.0,2
1656,495817671,0.51,1.0,62.0,2
1666,495817671,28.78,0.7,201.0,2
1691,495817671,1.24,1.0,120.0,2
1707,495817671,50.61,1.0,80.0,2
1723,495817671,3.03,1.0,80.0,2
1738,495817671,162.44,0.8454,85.0,1
1754,495817671,2.05,1.0,32.0,2
1785,495817671,44.38,0.902,142.0,2
1817,495817671,115.52,0.9186,102.0,1
1824,495817671,4.04,1.0,106.0,2
1844,495817671,8.64,0.6364,329.0,2
1853,495817671,4.59,1.0,230.0,2
1914,495817671,14.49,0.8333,202.0,2
1924,495817671,1649.24,0.7829,165.0,1
1976,495817671,58.12,0.8378,139.0,2
1981,495817671,375.87,0.8894,126.0,1
1983,495817671,5.04,0.6667,21.0,2
2019,495817671,901.8,0.7208,166.0,1
2096,495817671,5.78,0.6667,49.0,2
2097,495817671,0.91,0.0,,0
2124,495817671,5.91,0.8333,29.0,2
2125,495817671,0.15,0.0,,0
2128,495817671,32.54,0.8571,125.0,2
2129,495817671,1.95,1.0,1.0,2
2152,495817671,18.12,0.6667,69.0,2
2195,495817671,0.65,1.0,120.0,2
2203,495817671,0.78,1.0,289.0,2
2280,495817671,13.66,0.8571,58.0,2
2320,495817671,55.43,0.9211,101.0,2
2354,495817671,2.39,0.0,126.0,0
2367,495817671,3.84,1.0,64.0,2
2383,495817671,19.2,0.9655,45.0,2
2390,495817671,22.25,0.8333,84.0,2
2432,495817671,2.71,1.0,8.0,2
2438,495817671,663.8,0.7393,236.0,1
2479,495817671,0.8,1.0,120.0,2
2501,495817671,15.12,0.7778,390.0,2
2516,495817671,1.29,1.0,70.0,2
2524,495817671,20.21,0.8,45.0,2
2527,495817671,2.29,0.0,,0
2533,495817671,19372.48,0.6791,148.0,1
2541,495817671,1719.88,0.4544,346.0,1
2586,495817671,1676.01,0.7976,129.0,1
2629,495817671,4.43,1.0,82.0,2
2699,495817671,1.08,1.0,129.0,2
2727,495817671,11.66,1.0,45.0,2
2745,495817671,2.05,1.0,1.0,2
2793,495817671,17.12,0.875,102.0,2
2814,495817671,2.07,1.0,62.0,2
2821,495817671,1327.25,0.7814,140.0,1
2825,495817671,10.3,0.75,298.0,2
2855,495817671,42.31,0.8444,60.0,2
2869,495817671,57.95,0.8409,118.0,2
2874,495817671,6.68,1.0,263.0,2
2891,495817671,4.31,0.6667,115.0,2
2896,495817671,6.25,1.0,26.0,2
2899,495817671,1569.85,0.822,176.0,1
2933,495817671,2839.7,0.6966,195.0,1
2966,495817671,1.5,0.0,,0
2987,495817671,442.84,0.9145,111.0,1
2997,495817671,0.71,0.0,37.0,0
3016,495817671,22.59,0.6875,191.0,2
3040,495817671,1.98,1.0,65.0,2
3082,495817671,5.14,0.0,403.0,0
3104,495817671,18.62,1.0,25.0,2
3112,495817671,8.5,1.0,49.0,2
3127,495817671,5.8,0.8,351.0,2
3132,495817671,36.2,0.7111,443.0,2
3135,495817671,240.28,0.8429,186.0,1
3149,495817671,1.86,1.0,120.0,2
3157,495817671,88.98,0.8857,74.0,2
3215,495817671,203.86,0.1604,679.0,0
3303,495817671,3.47,1.0,95.0,2
3327,495817671,84.29,0.7917,151.0,1
3382,495817671,14.26,0.6429,90.0,2
3412,495817671,77.97,0.7556,80.0,1
3416,495817671,10.74,0.875,92.0,2
3417,495817671,15.19,0.8,478.0,2
3420,495817671,1.26,1.0,7.0,2
3437,495817671,1.98,1.0,17.0,2
3443,495817671,7.46,1.0,105.0,2
3505,495817671,0.5,1.0,120.0,2
3526,495817671,29.64,0.7895,121.0,2
3539,495817671,0.89,0.5,5099.0,0
3549,495817671,14.61,1.0,52.0,2
3567,495817671,33494.72,0.6059,185.0,1
3575,495817671,1246.44,0.6395,291.0,1
3587,495817671,1331.48,0.586,145.0,1
3678,495817671,3.98,0.75,127.0,2
3714,495817671,1.0,1.0,27.0,2
3774,495817671,2.56,0.875,68.0,2
3784,495817671,6.91,1.0,58.0,2
3809,495817671,17.29,0.75,107.0,2
3830,495817671,53.31,0.7935,134.0,2
3842,495817671,1.8,0.0,38.0,0
3873,495817671,1.53,0.0,118.0,0
3877,495817671,1.5,1.0,2.0,2
3882,495817671,2.83,1.0,25.0,2
3905,495817671,115.64,0.5333,419.0,1
3913,495817671,0.45,1.0,120.0,2
3964,495817671,15.17,0.6,197.0,2
3973,495817671,7.09,1.0,50.0,2
3989,495817671,8240.76,0.1738,567.0,1
4001,495817671,1.61,1.0,120.0,2
4002,495817671,194.96,0.68,321.0,1
4016,495817671,5.08,0.75,565.0,2
4054,495817671,1793.1,0.7342,146.0,1
4056,495817671,5.66,1.0,11.0,2
4110,495817671,1.55,1.0,62.0,2
4158,495817671,11.34,0.6667,301.0,2
4173,495817671,27.6,0.88,170.0,2
4177,495817671,1.93,1.0,24.0,2
4190,495817671,21.98,0.4762,87.0,0
4244,495817671,14.34,0.9375,181.0,2
4256,495817671,187.93,0.8125,194.0,1
4280,495817671,19.71,0.913,58.0,2
4286,495817671,1.71,0.0,230.0,0
4331,495817671,10.97,0.9167,162.0,2
4355,495817671,19.69,0.8182,263.0,2
4467,495817671,9.91,0.9231,32.0,2
4538,495817671,5.54,1.0,4.0,2
4539,495817671,25.13,0.9048,56.0,2
4546,495817671,33.96,0.9259,82.0,2
4563,495817671,1429.75,0.854,130.0,1
4579,495817671,193.14,0.9048,94.0,1
4593,495817671,5.08,0.4,63.0,0
4606,495817671,1.3,0.0,,0
4652,495817671,194.44,0.8378,73.0,1
4688,495817671,2.48,0.6667,638.0,2
4718,495817671,1.41,0.0,,0
4721,495817671,18.53,0.72,191.0,2
4735,495817671,8.0,0.9,54.0,2
4751,495817671,453.98,0.7905,180.0,1
4760,495817671,2556.38,0.7647,242.0,1
4762,495817671,3.14,1.0,293.0,2
4776,495817671,17.93,0.9,44.0,2
4782,495817671,42.62,0.8857,76.0,2
4804,495817671,24.55,0.619,96.0,2
4807,495817671,0.31,0.0,117.0,0
4828,495817671,159.62,0.7857,201.0,1
4832,495817671,171.45,0.7231,162.0,1
4843,495817671,12.41,0.9444,46.0,2
4854,495817671,7.17,1.0,58.0,2
4887,495817671,167.05,0.8592,128.0,1
4923,495817671,2.4,0.3333,244.0,0
4927,495817671,150.07,0.72,193.0,1
4931,495817671,1.62,1.0,62.0,2
4995,495817671,182.38,0.8537,105.0,1
5009,495817671,2.96,0.75,60.0,2
5027,495817671,0.1,1.0,120.0,2
5048,495817671,2.15,1.0,3.0,2
5050,495817671,13.37,1.0,35.0,2
5061,495817671,1.26,1.0,120.0,2
5082,495817671,0.74,0.0,,0
5194,495817671,1244.51,0.9338,118.0,1
5199,495817671,2.75,0.5,4.0,0
5210,495817671,12400.94,0.408,379.0,1
5273,495817671,0.36,1.0,1.0,2
5284,495817671,0.91,1.0,4.0,2
5288,495817671,41.91,0.9375,61.0,2
5304,495817671,299.99,0.5352,293.0,1
5345,495817671,140.22,0.7429,246.0,1
5428,495817671,3.11,1.0,7.0,2
5486,495817671,1121.76,0.7955,234.0,1
5493,495817671,6217.86,0.8329,153.0,1
5501,495817671,0.59,1.0,2.0,2
5527,495817671,13.68,0.9643,90.0,2
